org_key,year,event_key,team_key,driveBaseType,Length,Width,Weight,doAuto,numCoralAuto,canScoreAutoL1,canScoreAutoL2,canScoreAutoL3,canScoreAutoL4,StartA,StartB,StartC,StartD,StartE,describeAuto,doAutoCodeTeleop,autoCodeTeleopcoral,canPickupCoralGround,canPickupCoralFeedstation,canPickupAlgaeground,canPickupAlgaeReef,canScoreAlgaeProcessor,canScoreAlgaeNet,canScoreCoralL1,canScoreCoralL2,canScoreCoralL3,canScoreCoralL4,CageClimb,preferredStrategy,notes
frc246,2025,2025mabos,frc69,"Swerve","28","28","110","0","0","0","0","0","0","0","0","0","0","0","In progress","1","Reef","0","1","1","1","1","1","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc78,"Swerve","28","28","105","1","2","0","0","0","1","0","1","0","1","0","Score, refill, score","1","Autoallighn to reef barge and coral station","0","1","1","1","1","1","1","1","1","1","Deep Climb","Algae in net plus L4 coral",""
frc246,2025,2025mabos,frc78,"Swerve","28","28","105","1","2","0","0","0","1","1","0","0","0","1","L4","1","","0","1","1","1","1","1","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc88,"Swerve","27","27","110","1","2","0","0","0","1","1","0","0","0","1","","1","","0","1","1","1","1","0","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc97,"Swerve","32","27","100","1","1","0","1","1","0","1","0","0","0","1","Just added auto","1","Working on auto-align","0","1","0","0","0","0","1","1","1","0","Cannot Climb","Defense + corals",""
frc246,2025,2025mabos,frc125,"Swerve","28","28","110","1","0","0","0","0","1","1","0","0","0","1","","1","","1","1","1","1","1","1","0","0","0","0","Deep Climb","",""
frc246,2025,2025rikin,frc151,"Swerve","28","28","100","0","2","1","1","0","0","0","1","0","1","0","L1 and 2","1","To score coral","0","1","1","0","1","0","1","1","1","1","Cannot Climb","Team up w/ coral team and split reef I half working from L1 down","They have cool stickers"
frc246,2025,2025mabos,frc151,"Swerve","28","28","100","1","1","1","0","0","0","1","0","1","0","1","From middle, score one l1 from left score two l1","0","","0","1","0","1","1","1","1","1","1","1","Cannot Climb","Prefer coral or algae depends on team",""
frc246,2025,2025mabos,frc175,"Swerve","38","38","110","1","0","0","0","0","0","1","1","1","1","1","leave","0","","0","1","0","1","1","1","1","1","1","1","Cannot Climb","cooperatition and coral","most confident in L2 and L3 and thinks they can score in net but not tested"
frc246,2025,2025rikin,frc181,"Swerve","31","30","110","1","0","0","0","0","0","1","1","1","1","1","Leave","0","","1","0","1","1","1","1","0","0","0","1","Shallow Climb","play by ear, what drive team wants lol","Ground intake coral, can score net algaeAlso only has a L4 set point but could technically score other levels (not reliable)Also idk what robot dimensions are"
frc246,2025,2025rikin,frc190,"Swerve","28","28","115","1","3","0","0","0","1","0","1","0","1","0","Score 3 or 4 L4 corals.","1","3 lime lights to align to the reef.","0","1","0","0","0","0","1","1","1","1","Deep Climb","Focus on coral.","Can knock algae off the reef but can’t do anything with it."
frc246,2025,2025rikin,frc348,"Swerve","27","26","85","1","0","0","0","0","0","1","1","1","1","1","","0","","0","1","0","1","0","0","1","1","1","0","Deep Climb","",""
frc246,2025,2025mabos,frc348,"Swerve","27","27","105","1","0","1","1","1","0","0","0","1","0","0","","0","","0","1","0","0","0","0","0","0","0","0","Cannot Climb","Pickup corals",""
frc246,2025,2025mabos,frc509,"Swerve","28","28","110","1","0","0","0","0","0","0","0","0","0","0","Start anywhere","0","Notbyet","1","1","1","1","1","1","1","1","1","1","Cannot Climb","Flexible depending on team, fast human player reef cycles, can quickly take algae off the reef and score it. Also puts coral on L1-4",""
frc246,2025,2025rikin,frc558,"Swerve","26","26","100","1","0","0","0","0","0","0","0","0","0","0","Maybe one l4","1","Photon measure ","0","1","1","1","1","0","1","1","1","1","Deep Climb","Mostly algae",""
frc246,2025,2025rikin,frc663,"Swerve","28","31","100","1","1","0","0","0","1","0","0","1","0","0","Score L4 coral during auto.","0"," ","0","1","0","1","0","0","0","1","1","1","Cannot Climb","Remove algae and score corals",""
